계정,2024-3Q,2024-2Q,2024-1Q,2023-4Q,2023-3Q
서치플랫폼,2.88147E+12,1.88376E+12,9.05354E+11,3.58906E+12,2.66072E+12
커머스,2.14788E+12,1.4225E+12,7.03451E+11,2.54665E+12,1.8862E+12
핀테크,1.10749E+12,7.22374E+11,3.5391E+11,1.35477E+12,9.98749E+11
콘텐츠,1.32907E+12,8.66316E+11,4.46319E+11,1.73298E+12,1.26664E+12
클라우드,3.86191E+11,2.41598E+11,1.1702E+11,4.47184E+11,3.2133E+11
영업수익,7.8521E+12,5.13654E+12,2.52606E+12,9.67064E+12,7.13364E+12
영업비용,6.41485E+12,4.22456E+12,2.08676E+12,8.18182E+12,6.05031E+12
영업이익,1.43725E+12,9.11978E+11,4.39293E+11,1.48882E+12,1.08333E+12
영업이익률,0.183039975,0.177547145,0.173904778,0.153952553,0.15186207
순이익,1.41794E+12,8.8786E+11,5.55803E+11,9.85018E+11,6.86577E+11
순이익률,0.180580722,0.172851687,0.220028154,0.101856485,0.09624503
